#CMIXO ID	LABEL	Class Type	Parent	has exposure material component	has part some chemical with role	Additional info	See Also	Text Definition	exact synonyms	related synonym	ORCID
ID	LABEL	CLASS_TYPE	C % SPLIT=|	C  'has part' some % SPLIT=|	C 'has part' some ('has role' some %) SPLIT=|	A rdfs:comment	AI rdfs:seeAlso	A obo:IAO_0000115	A oboInOwl:exactSynonym	A oboInOwl:relatedSynonym	AI dcterms:creator
CMIXO:0000001	rubber cement	equivalent	CHEBI:60004	CHEBI:28798|CHEBI:30879	CHEBI:46787	Solvents typically used include acetone, hexane, heptane or toluene. 	https://en.wikipedia.org/w/index.php?title=Rubber_cement&oldid=975194720	A drying adhesive made from elastic polymers mixed in a solvent.	cow gum		https://orcid.org/0000-0002-7463-6306
CMIXO:0000002	ethylene-vinyl acetate	equivalent	CHEBI:60004	CHEBI:29362|CHEBI:46916			https://en.wikipedia.org/wiki/Ethylene-vinyl_acetate	An elastomeric copolymer of ethylene and vinyl acetate used to produce "rubber-like" materials.	PEVA|poly(ethylene-vinyl acetate)|EVA		https://orcid.org/0000-0002-7463-6306
CMIXO:0000003	wallpaper paste	equivalent	CHEBI:60004	CHEBI:53448|CHEBI:15377			https://en.wikipedia.org/wiki/Wallpaper_paste	An adhesive used to fix wallpaper to walls	wallpaper adhesive		https://orcid.org/0000-0002-7463-6306
CMIXO:0000004	hair dye	equivalent	CHEBI:60004	CHEBI:16134|CHEBI:16240			https://en.wikipedia.org/wiki/Hair_coloring	A coloring agent used to temporarily or permanently alter hair color.	hair color		https://orcid.org/0000-0002-7463-6306
CMIXO:0000005	pharmaceutical ink	equivalent	CHEBI:60004	CHEBI:16997|CHEBI:32234|CHEBI:30879			https://en.wikipedia.org/wiki/Pharmaceutical_ink	An ingestible form of water based ink used to print on pill medications.			https://orcid.org/0000-0002-7463-6306
CMIXO:0000006	gasoline exhaust	equivalent	CHEBI:60004	CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749							https://orcid.org/0000-0002-7463-6306
CMIXO:0000007	gel ink	equivalent	CHEBI:60004	CHEBI:155903|CHEBI:50816|CHEBI:15377|SIO:000092			https://en.wikipedia.org/wiki/Gel_pen	A high viscosity, opaque ink used in gel pens.			https://orcid.org/0000-0002-7463-6306
CMIXO:0000008	soy ink	equivalent	CHEBI:60004	FOODON:03302776|CHEBI:26130|ENVO:03510018|ENVO:01000575			https://en.wikipedia.org/wiki/Soy_ink	A slow drying ink made from refined soybean oil.			https://orcid.org/0000-0002-7463-6306
CMIXO:0000009	aqueous inkjet printer ink	equivalent	CHEBI:60004	CHEBI:15377|CHEBI:13643|ENVO:03510010			https://en.wikipedia.org/wiki/Inkjet_printing	A coloring agent used to deposit color onto a substrate via inkjet printer.			https://orcid.org/0000-0002-7463-6306
CMIXO:0000010	diesel exhaust	equivalent	CHEBI:60004	CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749|CHEBI:33415|CHEBI:26836|CHEBI:24873|CHEBI:37133|CHEBI:27364							https://orcid.org/0000-0002-7463-6306		
